Order_ID,Order_Date,Region,Sales_Channel,Customer_Segment,Category,Product,Quantity,Unit_Price,Discount_%,Revenue,Cost,Profit,Profit_Margin_%,Payment_Method,Salesperson
ORD-03090,2023-01-01,North,Wholesale,Government,Electronics,Tablet,10,943.6,15.0,8020.56,5424.55,2596.01,32.37,Card,Salesperson 05
ORD-08025,2023-01-01,North,Corporate,Corporate,Home Appliances,Microwave,3,979.83,4.1,2818.97,2288.96,530.01,18.8,Card,Salesperson 13
ORD-01041,2023-01-01,East,Retail Store,Small Business,Office Supplies,Stapler,11,67.02,2.0,722.48,488.57,233.91,32.38,Cash,Salesperson 17
ORD-05554,2023-01-01,West,Retail Store,Consumer,Home Appliances,Microwave,5,1315.71,5.3,6229.86,4803.33,1426.54,22.9,Card,Salesperson 15
ORD-06641,2023-01-01,South,Corporate,Government,Electronics,Tablet,5,394.73,18.1,1616.41,1150.27,466.15,28.84,Mobile Money,Salesperson 13
ORD-03895,2023-01-01,South,Wholesale,Consumer,Electronics,Smartphone,6,1504.19,15.8,7599.17,5462.8,2136.38,28.11,Mobile Money,Salesperson 15
ORD-01407,2023-01-01,South,Wholesale,Corporate,Clothing,Dress,11,224.18,18.4,2012.27,1164.79,847.48,42.12,Bank Transfer,Salesperson 05
ORD-07207,2023-01-01,East,Wholesale,Corporate,Office Supplies,Pen Set,3,56.01,16.5,140.3,84.47,55.83,39.79,Card,Salesperson 04
ORD-05427,2023-01-01,West,Corporate,Corporate,Office Supplies,Pen Set,13,25.58,24.3,251.7,173.02,78.69,31.26,Mobile Money,Salesperson 13
ORD-07082,2023-01-02,South,Corporate,Consumer,Electronics,Laptop,11,1513.45,15.1,14134.1,8305.14,5828.97,41.24,Card,Salesperson 04
ORD-01773,2023-01-02,South,Wholesale,Corporate,Office Supplies,Stapler,1,27.5,19.1,22.25,14.99,7.26,32.64,Cash,Salesperson 09
ORD-08967,2023-01-02,West,Wholesale,Small Business,Clothing,Sneakers,14,130.91,18.5,1493.67,831.81,661.87,44.31,Card,Salesperson 19
ORD-04482,2023-01-02,South,Corporate,Corporate,Clothing,Jacket,5,349.96,22.7,1352.61,996.21,356.4,26.35,Mobile Money,Salesperson 07
